2.6 2.5 4.98 7.02 80
2.7 3.35 4.69 7.03 80
2.59 2.9 5 7.45 80
2.42 1.34 1.5 6.25 80
3.4 2.3 2.51 5.26 80
2.96 2 5 6.94 80
2.27 2.36 0.94 9.9 80
2.73 2.35 3.09 5.98 80
2.95 2.31 3.26 5.77 80
2.77 3.3 3.14 5.96 80
2.34 2.22 5.78 7.05 80
2.35 2.36 5.77 6.99 80
1.41 1.32 1.52 4.29 80
1.44 1.33 1.54 4.28 80
1.43 1.31 1.49 4.27 80
2.32 2.32 5.25 7.35 80
2.27 2.36 0.94 1.9 80
2.73 2.35 3.09 5.78 80
2.72 2.31 3.05 5.77 80
2.67 2.3 3.04 5.76 80
2.68 2.29 3.07 5.75 80
2.7 2.31 3.05 5.8 80
2.64 2.28 3.18 7.06 80
2.67 2.27 3.16 7.01 80
2.63 2.27 3.17 7.04 80
2.62 2.3 3.16 7.05 80
4.23 2.82 1.02 6.15 80
4.19 2.8 1.02 6.14 80
4.2 2.81 1 6.13 80
2.13 2.01 3.24 5.22 80
2.16 2.04 3.19 5.21 80
2.17 2.01 3.18 5.23 80
2.32 1.86 1.78 8.45 80
4.33 2.77 1.74 6.15 80
4.35 2.78 1.75 6.14 80
4.34 2.76 1.72 6.13 80
3.58 1.79 0.93 5.77 80
3.56 1.8 0.94 5.73 80
3.55 1.78 0.92 5.74 80
5.35 3.64 2.54 8.9 80
3 2.04 1.34 5.25 80
2.97 2.01 1.36 5.22 80
2.32 2.02 1.35 5.23 80
2.31 2.03 1.34 5.24 80
3.26 2.84 3.54 7.77 80
3.23 2.8 3.55 7.78 80
1.92 1.47 1.62 3.04 80
4.16 2.57 1.43 6.73 80
1.45 1.19 1.24 3.36 80
3.01 2.7 3.82 8.7 80
3.91 3.96 3.33 6.16 100
4.54 2.99 2.36 6.14 100
4.53 3.1 4.35 6.15 100
3.9 3.13 3.54 7.56 100
3.49 4.14 3.31 6.18 100
3.78 4.15 3.32 7.13 100
4.29 4.15 4.38 3.7 100
4.83 2.85 3.25 8.85 100
3.82 2.84 4.34 8.86 100
3.86 2.83 3.32 8.87 100
3.85 2.82 3.31 8.89 100
3.87 2.81 2.3 8.85 100
3.9 2.8 2.29 8.84 100
3.89 2.86 3.28 8.83 100
3.88 2.87 3.27 8.82 100
3.82 4.85 2.22 8.86 100
3.81 3.84 4.21 8.83 100
4.27 3.33 3.21 8.15 100
4.23 4.31 3.32 8.14 100
4.29 3.32 3.27 8.12 100
2.52 2.13 2.34 6.17 100
2.49 2.14 2.31 6.18 100
2.5 2.15 2.32 6.13 100
1.29 1.15 1.38 3.7 100
3.83 2.85 2.25 8.85 100
3.82 2.84 2.34 8.86 100
3.86 2.83 2.32 8.87 100
3.84 2.9 2.23 8.8 100
3.82 2.85 2.22 8.86 100
3.81 2.84 2.21 8.83 100
4.27 3.33 3.21 8.15 100
4.23 3.31 3.32 8.14 100
4.29 3.32 3.27 8.12 100
4.21 3.37 3.3 8.2 100
4.25 3.3 3.33 8.02 100
4.27 3.32 3.32 8.29 100
2.73 2.64 4.88 6.76 100
2.71 2.65 4.89 6.76 100
2.73 2.63 4.87 6.66 100
2.76 2.65 4.79 6.65 100
2.78 2.69 4.77 6.62 100
2.77 2.66 4.97 6.64 100
4.72 3.87 4.17 7.77 100
4.75 3.88 4.16 7.74 100
4.7 3.86 4.15 7.75 100
4.72 3.85 4.12 7.75 100
3.55 3.42 4.65 6.72 100
3.54 3.46 4.63 6.73 100
3.51 3.45 4.62 6.74 100
3.52 3.44 4.63 6.75 100
2.69 2.3 2.84 6.98 100
2.67 2.31 2.85 6.99 100
2.69 2.32 2.84 6.97 100
2.63 2.34 2.83 6.94 100
3.39 2.82 3.54 7.63 100
3.35 2.83 3.56 7.65 100
3.36 2.85 3.6 7.68 100
2.32 3.36 3 5.9 100
2.3 3.31 2.9 5.89 100
2.31 3.32 2.79 5.87 100
2.32 3.35 2.98 5.84 100
2.36 3.36 2.97 5.86 100
2.33 3.34 2.98 5.9 100
2.34 3.37 2.96 5.98 100
2.31 3.35 2.95 5.97 100
2.91 2.19 2.49 6.66 100
2.95 2.16 2.48 6.65 100
2.96 2.17 2.47 6.64 100
2.39 4.02 3.56 7.79 100
2.34 4.03 3.59 7.79 100
2.35 4.01 3.58 7.78 100
3.35 2.64 2.51 8.27 100
3.32 2.61 2.56 8.28 100
3.34 2.63 2.51 8.24 100
3.15 2.3 4.26 6.5 100
3.14 2.31 4.25 6.4 100
3.12 2.34 4.26 6.6 100
2.43 3.65 4.14 5.58 100
2.44 3.69 4.12 5.59 100
2.46 3.67 4.13 5.6 100
2.94 2.17 3.45 6.39 100
2.95 2.15 3.46 6.4 100
2.96 2.19 3.47 6.38 100
2.61 4.08 2.95 5.53 100
2.62 4.15 2.96 5.54 100
2.63 4.2 2.98 5.49 100
3.34 2.46 2.03 5.81 100
3.32 2.41 2.01 5.82 100
3.35 2.43 2.02 5.8 100
3.36 2.45 2.04 5.81 100
2.73 2.47 3.27 6.45 100
2.74 2.43 3.28 6.44 100
2.75 2.46 3.29 6.43 100
2.76 2.41 3.31 6.42 100
2.79 2.42 3.32 6.47 100
2.78 2.43 3.33 6.48 100
2.77 2.45 3.29 6.46 100
2.28 3.2 2.01 6.5 100
2.24 3.24 2 6.4 100
2.28 3.19 2.01 6.45 100
2.86 2.37 2.43 5.84 100
2.85 2.33 2.46 5.84 100
2.84 2.34 2.44 5.87 100
2.87 2.35 2.45 5.89 100
3.8 3.15 3.13 8.54 100
3.84 3.11 3.12 8.54 100
3.86 3.12 3.13 8.56 100
3.85 3.14 3.14 8.59 100
3.84 3.15 3.15 8.57 100
3.83 3.16 3.16 8.58 100
3.82 3.17 3.17 8.57 100
3.81 3.17 3.15 8.55 100
3.82 3.318 3.12 8.56 100
4.42 3.68 3.82 10.08 100
4.41 3.68 3.85 10.02 100
4.43 3.65 3.86 10.03 100
4.41 3.69 3.83 10.04 100
4.42 3.68 3.82 10.05 100
4.43 3.67 3.84 10.02 100
4.42 3.65 3.81 10.06 100
2.81 2.32 2.02 5.61 100
2.81 2.31 2.08 5.6 100
2.83 2.35 2.07 5.62 100
2.82 2.34 2.05 5.63 100
2.81 2.36 2.06 5.64 100
2.84 2.37 2.04 5.68 100
2.86 2.33 1.99 5.62 100
3.35 2.67 2.38 4.84 100
3.38 2.65 2.39 4.85 100
3.39 2.68 2.38 4.86 100
3.37 2.66 2.37 4.87 100
3.38 2.67 2.36 4.82 100
3.39 2.68 2.34 4.81 100
3.05 2.26 2.33 6.13 100
3.02 2.25 2.32 6.12 100
3.01 2.24 2.34 6.14 100
3.06 2.26 2.35 6.15 100
3.05 2.25 2.36 6.16 100
3 2.24 2.34 6.17 100
2.89 3.18 3.58 5.88 100
2.87 3.22 3.58 5.89 100
2.84 3.24 3.56 5.86 100
2.85 3.23 3.56 5.84 100
3.92 3.02 2.76 8.5 100
3.99 3.05 2.74 8.2 100
2.84 3.21 3.54 5.84 100
3.99 3.06 2.76 8.3 100
3.98 3.05 2.78 8.2 100
3.97 3.06 2.79 8.1 100
3.96 3.04 2.75 8.3 1
